from,to,hash,blockNumber,timeStamp,cluster_id,cluster_size,connections_to_other_addresses,number_of_actions_from,number_of_actions_to,from_address_interaction_start,to_address_interaction_start,from_address_interaction_end,to_address_interaction_end
0xbe98ce5dfd38f505e5525a49a1c593c687b0365d,0x2917634fd7319c38d377fff1d9ccac4505921339,0x14095603cda574868c5ee329c3976fd956091abdc7098a136d9919349840f283,21505864,2020-10-13 09:12:20,1,16,1,4,18,2021-12-06 08:06:36,2021-12-05 01:25:36,2021-12-06 08:11:48,2021-12-05 01:44:36
0x2917634fd7319c38d377fff1d9ccac4505921339,0x69e258c76f3aa94f28478040ea0705ebafdb1ddf,0xa5d7481969f9fec0623addd36e2e1b5f3fa1d58133df2921e58408b29262b856,21505918,2020-10-13 09:17:00,1,16,2,18,12,2021-12-05 01:25:36,2021-12-02 12:27:28,2021-12-05 01:44:36,2021-12-02 12:58:04
0x69e258c76f3aa94f28478040ea0705ebafdb1ddf,0x654550fc727ac3a1f6f451ea60a69a82be98f254,0xe836bab5bbdae264a892708b37f63c371060bd19c717f1a395a66e8e6173a580,28612575,2021-12-03 08:50:52,1,16,4,12,11,2021-12-02 12:27:28,2021-12-03 08:53:40,2021-12-02 12:58:04,2021-12-03 09:06:40
0x69e258c76f3aa94f28478040ea0705ebafdb1ddf,0x654550fc727ac3a1f6f451ea60a69a82be98f254,0x1eb5d5a7623b4ac4c953666108db7f6f5d9cb7b95f230d3ed0472f657df189ae,28612603,2021-12-03 08:56:28,1,16,4,12,11,2021-12-02 12:27:28,2021-12-03 08:53:40,2021-12-02 12:58:04,2021-12-03 09:06:40
0x496a334583eebc83d4b9c6eede5e338eba5aa6a8,0x2f2250e6fb3e53531d889b5e779c3b1a8eb77c2b,0x72eea02e3bbbe51191e33600315cd5bfdf592474952f209030b2d0b9b835e4ea,28612692,2021-12-03 09:14:16,1,16,3,13,12,2021-12-03 02:28:28,2021-12-03 09:18:04,2021-12-03 02:44:52,2021-12-03 09:51:16
0x7457137a9f3c124680cdfc6998ee0bb6a487e9ba,0x2f2250e6fb3e53531d889b5e779c3b1a8eb77c2b,0xf5440c0b89086d8bee09a0dababacc6d8e371223a56c090be4f5708fa936f0dd,28612693,2021-12-03 09:14:28,1,16,3,17,12,2021-12-03 02:56:04,2021-12-03 09:18:04,2021-12-03 03:10:28,2021-12-03 09:51:16
0x00640215f6385bfd507405b219c3819dd6e49152,0x2f2250e6fb3e53531d889b5e779c3b1a8eb77c2b,0x71e7e597006313132a95da892ef652aa8a37d10ba52d32c62fc4312414840b4a,28612695,2021-12-03 09:14:52,1,16,3,16,12,2021-12-03 03:15:40,2021-12-03 09:18:04,2021-12-03 03:30:52,2021-12-03 09:51:16
0x377fd00c2092833e1f7643a5039169480cf698f6,0x2f2250e6fb3e53531d889b5e779c3b1a8eb77c2b,0xbe29e5a7aad7de35ceead643115bb2838c227feb4bd912262bebede3705be29e,28612696,2021-12-03 09:15:04,1,16,3,15,12,2021-12-03 03:33:52,2021-12-03 09:18:04,2021-12-03 04:41:16,2021-12-03 09:51:16
0x654550fc727ac3a1f6f451ea60a69a82be98f254,0x2f2250e6fb3e53531d889b5e779c3b1a8eb77c2b,0xa62d7550e0b0ee82601d2badf50fb735ac6f77d1f465776706c449714ad15590,28612697,2021-12-03 09:15:16,1,16,3,11,12,2021-12-03 08:53:40,2021-12-03 09:18:04,2021-12-03 09:06:40,2021-12-03 09:51:16
0x69e258c76f3aa94f28478040ea0705ebafdb1ddf,0x68a642a2e5ef2932f29e11f628e447aad7fda7fb,0x59c9ad0dfbbff3bc822f2f850db0ae061f5d76fbf2fad663a034809d7a915c6d,28625173,2021-12-04 12:54:12,1,16,4,12,16,2021-12-02 12:27:28,2021-12-04 12:59:00,2021-12-02 12:58:04,2021-12-04 15:18:24
0x2f2250e6fb3e53531d889b5e779c3b1a8eb77c2b,0x68a642a2e5ef2932f29e11f628e447aad7fda7fb,0x9e29eb02e57874fdabe40fa79a9f4304b48633f1f877b3c45ad4e376e7970c56,28625176,2021-12-04 12:54:36,1,16,6,12,16,2021-12-03 09:18:04,2021-12-04 12:59:00,2021-12-03 09:51:16,2021-12-04 15:18:24
